StudyID,SLEEPmeas,PTSDmeas,esID,SleepOutcome,ES_type,zcor,varcor,smd,varsmd,r_og,p_og,N_og,M_ptsd_og,SD_ptsd_og,N_ptsd_og,M_nonptsd_og,SD_nonptsd_og,N_nonptsd_og,d_og,dvar_og,r,p,N,M_ptsd,SD_ptsd,N_ptsd,M_nonptsd,SD_nonptsd,N_nonptsd,d,dvar,DoubleChecked,SleepMeasureType,sleepmeas_v1.1diary,sleepmeas_v1.2actigraphy,sleepmeas_v2.1selfreport,sleepmeas_v2.2actigraphy,sleepmeas_v3.1selfreport,sleepmeas_v3.2diary,pubyear,sebsetpubyear_mean,pubyear_mc,PeerReviewed,peerreview,DescribedFidelityReliability,fidelitydescribed,DSMversionOfSeverityMeasure,DSMsev,PTSDinEnglish,PTSDenglish_v1.1no,PTSDenglish_v1.2mixed,PTSDenglish_v2.1yes,PTSDenglish_v2.2mixed,PTSDenglish_v3.1yes,PTSDenglish_v3.2no,ClinicalTrial_orNonCT,clinicaltrial,AnySleepDisruption,sleepdisruption,PTSDthresholdUsed,PTSDthreshold,OtherPsychConditions,otherpsych,nonPTSDtraumaType,nonPTSDtrauma,Agg_or_Raw,raw_agg,Country,usa_other,USpartState,M_age,subset_avgMage,Mage_mc,percentF,subset_MpercentF,percentF_mc,percentW,subset_MpercentW,percentW_mc,TraumaType,traumatype_v1.1combat,traumatype_v1.2assault,traumatype_v1.3refugee,traumatype_v1.4illness,traumatype_v1.5natural,traumatype_v2.1mixed,traumatype_v2.2assault,traumatype_v2.3refugee,traumatype_v2.4illness,traumatype_v2.5natural,traumatype_v3.1mixed,traumatype_v3.2combat,traumatype_v3.3refugee,traumatype_v3.4illness,traumatype_v3.5natural,traumatype_v4.1mixed,traumatype_v4.2combat,traumatype_v4.3assault,traumatype_v4.4illness,traumatype_v4.5natural,traumatype_v5.1mixed,traumatype_v5.2combat,traumatype_v5.3assault,traumatype_v5.4refugee,traumatype_v5.5natural,traumatype_v6.1mixed,traumatype_v6.2combat,traumatype_v6.3assault,traumatype_v6.4refugee,traumatype_v6.5illness,Nightmares,nightmares_01,Insomnia,insomnia_01,SleepApnea,TBI,PTSDpopType,poptype_v1.1veteran,poptype_v1.2mixed,poptype_v2.1civilian,poptype_v2.2mixed,poptype_v3.1civilian,poptype_v3.2veteran,SleepQuestionnaire,OtherspecifySleepquestionnairenotlisted,PTSDdiagnosticMeasure,OtherSpecifyPTSDdiagnosticmeasurenotlisted,PTSDdiagnosistool_v1.1scid,PTSDdiagnosistool_v1.2other,PTSDdiagnosistool_v2.1caps,PTSDdiagnosistool_v2.2other,PTSDseverityMeasure,OtherSpecifyPTSDseveritymeasurenotlisted,PTSDseverityMeasureType,ptsdsevmeasuretype_01,ptsdsevmeasuretype_10,PTSDmeasureAlpha,PTSDmeasureAlphaFromCurrentStudy,PSQImeanPTSD,subsetMpsqiPTSD,MpsqiPTSD_mc,PSQImeanNONPTSD,subsetPSQImeanNONPTSD,mpsqiNONPTSD_mc
106,Diary,CAPS,1,WAKE,r,-0.023004057,0.014084507,,,-0.023,0.848,74,,,,,,,,,-0.023,0.848,74,,,,,,,,,,Daily diary,1,0,0,0,0,1,2018,2016.90411,1.095890411,No,1,No,1,,,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,Yes,1,,,aggregate,1,USA,0,CA,41.2,38.66223284,2.537767164,9,52.86760563,-43.86760563,,,,Combat,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,No,0,No,0,No,No,Veteran,1,0,0,0,0,1,No Questionnaire,,CAPS,,0,0,1,0,CAPS,,Clinician rated,1,0,,No alpha reported,,11.29829787,,,6.707,
106,Diary,CAPS,2,BED,r,0.099325348,0.013333333,,,0.099,0.387,78,,,,,,,,,0.099,0.387,78,,,,,,,,,,Daily diary,1,0,0,0,0,1,2018,2016.90411,1.095890411,No,1,No,1,,,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,Yes,1,,,aggregate,1,USA,0,CA,41.2,38.66223284,2.537767164,9,52.86760563,-43.86760563,,,,Combat,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,No,0,No,0,No,No,Veteran,1,0,0,0,0,1,No Questionnaire,,CAPS,,0,0,1,0,CAPS,,Clinician rated,1,0,,No alpha reported,,11.29829787,,,6.707,
1047,PSQI,PDS,3,WAKE,r,0.266108407,0.026315789,,,0.26,,41,,,,,,,,,0.26,,41,,,,,,,,,1,Self-report measure (includes chronotype measures),0,0,1,0,1,0,2017,2016.90411,0.095890411,Yes,0,No,1,5,1,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,No,0,Mixed,1,aggregate,1,UK,1,,32.5,38.66223284,-6.162232836,61.9,52.86760563,9.032394366,66.5999,57.91959412,8.680305882,Mixed,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,No,0,No,0,No,No,Civilian,0,0,1,0,1,0,PSQI,,CAPS,,0,0,1,0,PDS,,Self-report,0,1,,No alpha reported,11.05,11.29829787,-0.248297872,5.12,6.707,-1.587
1047,PSQI,Diagnosis,4,WAKE,d,,,-0.324735133,0.038551387,,,,7.63,1.97,41,8.16,1.39,73,,,,,,7.63,1.97,41,8.16,1.39,73,,,,Self-report measure (includes chronotype measures),0,0,1,0,1,0,2017,2017.357143,-0.357142857,Yes,0,No,1,5,1,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,No,0,Mixed,1,aggregate,1,UK,1,,32.5,37.28036296,-4.780362963,61.9,49.36071429,12.53928571,66.5999,64.22725909,2.372640909,Mixed,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,No,0,No,0,No,No,Civilian,0,0,1,0,1,0,PSQI,,CAPS,,0,0,1,0,,,,,,,,11.05,10.21615385,0.833846154,5.12,6.700833333,-1.580833333
1047,PSQI,PDS,5,BED,r,0.171666664,0.026315789,,,0.17,,41,,,,,,,,,0.17,,41,,,,,,,,,1,Self-report measure (includes chronotype measures),0,0,1,0,1,0,2017,2016.90411,0.095890411,Yes,0,No,1,5,1,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,No,0,Mixed,1,aggregate,1,UK,1,,32.5,38.66223284,-6.162232836,61.9,52.86760563,9.032394366,66.5999,57.91959412,8.680305882,Mixed,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,No,0,No,0,No,No,Civilian,0,0,1,0,1,0,PSQI,,CAPS,,0,0,1,0,PDS,,Self-report,0,1,,No alpha reported,11.05,11.29829787,-0.248297872,5.12,6.707,-1.587
1047,PSQI,Diagnosis,6,BED,d,,,-0.200130569,0.038264542,,,,23.73,1.5,41,23.98,1.07,73,,,,,,23.73,1.5,41,23.98,1.07,73,,,,Self-report measure (includes chronotype measures),0,0,1,0,1,0,2017,2017.357143,-0.357142857,Yes,0,No,1,5,1,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,No,0,Mixed,1,aggregate,1,UK,1,,32.5,37.28036296,-4.780362963,61.9,49.36071429,12.53928571,66.5999,64.22725909,2.372640909,Mixed,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,No,0,No,0,No,No,Civilian,0,0,1,0,1,0,PSQI,,CAPS,,0,0,1,0,,,,,,,,11.05,10.21615385,0.833846154,5.12,6.700833333,-1.580833333
1074,PSQI,PCL,7,WAKE,r,0.048036915,0.014084507,,,0.048,0.686,74,,,,,,,,,0.048,0.686,74,,,,,,,,,,Self-report measure (includes chronotype measures),0,0,1,0,1,0,2015,2016.90411,-1.904109589,No,1,No,1,5,1,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,No,0,Yes,0,aggregate,1,USA,0,TX,37.6,38.66223284,-1.062232836,0,52.86760563,-52.86760563,75.2,57.91959412,17.28040588,Combat,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,No,0,No,0,No,No,Veteran,1,0,0,0,0,1,PSQI,,MINI,,0,1,0,1,PCL,,Self-report,0,1,0.95,Yes,12.69,11.29829787,1.391702128,,6.707,
1074,PSQI,Diagnosis,8,WAKE,d,,,0.081051609,0.038542327,,,,6.78,2.34,74,6.6,1.93,40,0.0816,,,,,6.78,2.34,74,6.6,1.93,40,0.0816,0.0385,1,Self-report measure (includes chronotype measures),0,0,1,0,1,0,2015,2017.357143,-2.357142857,No,1,No,1,5,1,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,No,0,Yes,0,aggregate,1,USA,0,TX,37.6,37.28036296,0.319637037,0,49.36071429,-49.36071429,75.2,64.22725909,10.97274091,Combat,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,No,0,No,0,No,No,Veteran,1,0,0,0,0,1,PSQI,,MINI,,0,1,0,1,,,,,,,,12.69,10.21615385,2.473846154,,6.700833333,
1074,PSQI,PCL,9,BED,r,0.043026532,0.014084507,,,0.043,0.715,74,,,,,,,,,0.043,0.715,74,,,,,,,,,,Self-report measure (includes chronotype measures),0,0,1,0,1,0,2015,2016.90411,-1.904109589,No,1,No,1,5,1,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,No,0,Yes,0,aggregate,1,USA,0,TX,37.6,38.66223284,-1.062232836,0,52.86760563,-52.86760563,75.2,57.91959412,17.28040588,Combat,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,No,0,No,0,No,No,Veteran,1,0,0,0,0,1,PSQI,,MINI,,0,1,0,1,PCL,,Self-report,0,1,0.95,Yes,12.69,11.29829787,1.391702128,,6.707,
1074,PSQI,Diagnosis,10,BED,d,,,0.172558246,0.038644112,,,,23.8,2.25,74,23.44,1.69,40,0.1737,,,,,23.8,2.25,74,23.44,1.69,40,0.1737,0.0386,1,Self-report measure (includes chronotype measures),0,0,1,0,1,0,2015,2017.357143,-2.357142857,No,1,No,1,5,1,Yes,0,0,1,0,1,0,Not clinical trial,1,No,0,No,0,No,0,Yes,0,aggregate,1,USA,0,TX,37.6,37.28036296,0.319637037,0,49.36071429,-49.36071429,75.2,64.22725909,10.97274091,Combat,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,No,0,No,0,No,No,Veteran,1,0,0,0,0,1,PSQI,,MINI,,0,1,0,1,,,,,,,,12.69,10.21615385,2.473846154,,6.700833333,
